id, frage1, frage2, schaetzfrage1, schaetzfrage2
1, 1.0, 4.0, 5.0, 53.0
2, 1.0, 4.0, 5.0, 48.0
3, 1.0, 4.0, 5.0, 48.0
4, 2.0, 3.0, 5.0, 43.0
5, 2.0, 3.0, 5.0, 38.0
6, 1.0, 4.0, 15.5, 38.0
7, 2.0, 2.0, 15.5, 23.0
8, 1.0, 4.0, 15.5, 23.0
9, 3.0, 2.0, 25.5, 18.0
10, 1.0, 4.0, 25.5, 38.0
11, 2.0, 2.0, 35.5, 13.0
12, 2.0, 2.0, 35.5, 18.0
13, 3.0, 2.0, 35.5, 18.0
14, 3.0, 1.0, 35.5, 18.0
15, 4.0, 3.0, 45.5, 28.0
16, 4.0, 1.0, 45.5, 13.0
17, 4.0, 2.0, 45.5, 28.0
18, 3.0, 2.0, 45.5, 13.0
19, 3.0, 2.0, 45.5, 28.0
20, 2.0, 4.0, 45.5, 33.0
21, 2.0, 4.0, 45.5, 33.0
22, 1.0, 3.0, 45.5, 33.0
23, 1.0, 4.0, 55.5, 23.0
24, 2.0, 3.0, 55.5, 18.0
25, 3.0, 2.0, 55.5, 23.0
26, 3.0, 3.0, 55.5, 23.0
27, 3.0, 2.0, 55.5, 13.0
28, 4.0, 1.0, 55.5, 13.0
29, 4.0, 1.0, 55.5, 13.0
30, 4.0, 2.0, 55.5, 18.0
31, 4.0, 2.0, 55.5, 18.0
32, 4.0, 1.0, 65.5, 8.0
33, 3.0, 1.0, 65.5, 8.0
34, 3.0, 1.0, 65.5, 2.5
35, 4.0, 2.0, 65.5, 13.0
36, 3.0, 2.0, 65.5, 13.0
37, 4.0, 4.0, 65.5, 38.0
38, 4.0, 1.0, 65.5, 8.0
39, 4.0, 1.0, 75.5, 8.0
40, 3.0, 1.0, 75.5, 2.5
41, 3.0, 3.0, 75.5, 28.0
42, 3.0, 2.0, 75.5, 28.0
43, 3.0, 2.0, 75.5, 18.0
44, 4.0, 1.0, 75.5, 18.0
45, 2.0, 3.0, 75.5, 18.0
